invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5,sales,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,total
750678428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,13:08:00,Ewallet,522.83,4.761904762,26.1415,9.1,548.9714999999999
226313081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29:00,Cash,76.4,4.761904762,3.82,9.6,80.21999999999998
631413108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23:00,Credit card,324.31,4.761904762,16.2155,7.4,340.5255
123191176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.288,489.048,2019-01-27,20:33:00,Ewallet,465.76,4.761904762,23.288,8.4,489.048
373737910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37:00,Ewallet,604.17,4.761904762,30.2085,5.3,634.3785
699143026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30:00,Ewallet,597.73,4.761904762,29.8865,4.1,627.6165
355535943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36:00,Ewallet,413.04,4.761904762,20.652,5.8,433.692
315225665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00,Ewallet,735.6,4.761904762,36.78,8.0,772.38
665329167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15:00,Credit card,72.52,4.761904762,3.626,7.2,76.146
692925582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27:00,Credit card,164.52,4.761904762,8.226,5.9,172.746
351620822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07:00,Ewallet,57.92,4.761904762,2.896,4.5,60.816
529563974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03:00,Cash,102.04,4.761904762,5.102,6.8,107.14200000000001
365640515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25:00,Ewallet,234.75,4.761904762,11.7375,7.1,246.4875
252562699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48:00,Ewallet,431.9,4.761904762,21.595,8.2,453.495
829343910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21:00,Cash,713.8,4.761904762,35.69,5.7,749.49
299461805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19:00,Cash,562.32,4.761904762,28.116,4.5,590.4359999999999
656959349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03:00,Credit card,482.51,4.761904762,24.1255,4.6,506.63550000000004
765266951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39:00,Credit card,435.66,4.761904762,21.783,6.9,457.443
329621586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00:00,Credit card,164.01,4.761904762,8.2005,8.6,172.2105
319503348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30:00,Ewallet,80.6,4.761904762,4.03,4.4,84.63
